red,green,blue,alpha,data_lim_low,data_lim_high
0,0,0,0,,
5,48,97,255,-inf,-8.0
6,50,100,255,-8.0,-7.935
7,52,103,255,-7.935,-7.87
8,54,106,255,-7.87,-7.805
9,56,109,255,-7.805,-7.74
10,59,112,255,-7.74,-7.675
12,61,115,255,-7.675,-7.61
13,63,118,255,-7.61,-7.545
14,65,121,255,-7.545,-7.48
15,67,123,255,-7.48,-7.415
16,69,126,255,-7.415,-7.35
17,71,129,255,-7.35,-7.285
18,73,132,255,-7.285,-7.22
19,76,135,255,-7.22,-7.155
20,78,138,255,-7.155,-7.09
21,80,141,255,-7.09,-7.025
23,82,144,255,-7.025,-6.96
24,84,147,255,-6.96,-6.895
25,86,150,255,-6.895,-6.83
26,88,153,255,-6.83,-6.765
27,90,156,255,-6.765,-6.7
28,92,159,255,-6.7,-6.635
29,95,162,255,-6.635,-6.57
30,97,165,255,-6.57,-6.505
31,99,168,255,-6.505,-6.44
32,101,171,255,-6.44,-6.375
34,103,172,255,-6.375,-6.31
35,105,173,255,-6.31,-6.245
36,106,174,255,-6.245,-6.18
38,108,175,255,-6.18,-6.115
39,110,176,255,-6.115,-6.05
40,112,177,255,-6.05,-5.985
42,113,178,255,-5.985,-5.92
43,115,179,255,-5.92,-5.855
44,117,180,255,-5.855,-5.79
46,119,181,255,-5.79,-5.725
47,121,181,255,-5.725,-5.66
48,122,182,255,-5.66,-5.595
50,124,183,255,-5.595,-5.53
51,126,184,255,-5.53,-5.465
52,128,185,255,-5.465,-5.4
54,129,186,255,-5.4,-5.335
55,131,187,255,-5.335,-5.27
56,133,188,255,-5.27,-5.205
58,135,189,255,-5.205,-5.14
59,136,190,255,-5.14,-5.075
60,138,190,255,-5.075,-5.01
62,140,191,255,-5.01,-4.945
63,142,192,255,-4.945,-4.88
64,143,193,255,-4.88,-4.815
66,145,194,255,-4.815,-4.75
67,147,195,255,-4.75,-4.685
70,149,196,255,-4.685,-4.62
73,151,197,255,-4.62,-4.555
76,153,198,255,-4.555,-4.49
79,155,199,255,-4.49,-4.425
82,157,200,255,-4.425,-4.36
86,159,201,255,-4.36,-4.295
89,161,202,255,-4.295,-4.23
92,163,203,255,-4.23,-4.165
95,165,205,255,-4.165,-4.1
98,167,206,255,-4.1,-4.035
101,169,207,255,-4.035,-3.97
104,171,208,255,-3.97,-3.905
107,172,209,255,-3.905,-3.84
