red,green,blue,alpha,data_lim_low,data_lim_high
105,205,91,255,458.4,458.8
108,205,90,255,458.8,459.2
110,206,88,255,459.2,459.6
112,207,87,255,459.6,460.0
115,208,86,255,460.0,460.4
117,208,84,255,460.4,460.8
119,209,83,255,460.8,461.2
122,209,81,255,461.2,461.6
124,210,80,255,461.6,462.0
127,211,78,255,462.0,462.4
129,211,77,255,462.4,462.8
132,212,75,255,462.8,463.2
134,213,73,255,463.2,463.6
137,213,72,255,463.6,464.0
139,214,70,255,464.0,464.4
142,214,69,255,464.4,464.8
144,215,67,255,464.8,465.2
147,215,65,255,465.2,465.6
149,216,64,255,465.6,466.0
152,216,62,255,466.0,466.4
155,217,60,255,466.4,466.8
157,217,59,255,466.8,467.2
160,218,57,255,467.2,467.6
162,218,55,255,467.6,468.0
165,219,54,255,468.0,468.4
168,219,52,255,468.4,468.8
170,220,50,255,468.8,469.2
173,220,48,255,469.2,469.6
176,221,47,255,469.6,470.0
178,221,45,255,470.0,470.4
181,222,43,255,470.4,470.8
184,222,41,255,470.8,471.2
186,222,40,255,471.2,471.6
189,223,38,255,471.6,472.0
192,223,37,255,472.0,472.4
194,223,35,255,472.4,472.8
197,224,33,255,472.8,473.2
200,224,32,255,473.2,473.6
202,225,31,255,473.6,474.0
205,225,29,255,474.0,474.4
208,225,28,255,474.4,474.8
210,226,27,255,474.8,475.2
213,226,26,255,475.2,475.6
216,226,25,255,475.6,476.0
218,227,25,255,476.0,476.4
221,227,24,255,476.4,476.8
223,227,24,255,476.8,477.2
226,228,24,255,477.2,477.6
229,228,25,255,477.6,478.0
231,228,25,255,478.0,478.4
234,229,26,255,478.4,478.8
236,229,27,255,478.8,479.2
239,229,28,255,479.2,479.6
241,229,29,255,479.6,480.0
246,230,32,255,480.0,inf
